STT,Các kịch bản từng làm cho nhãn hàng,Mô tả sản phẩm,Chủ để,Thông tin nhãn hàng,Vấn đề của người dùng,Giai đoạn sản phẩm,Chính sách của Tiktok,Chính sách của nhãn hàng,Tone of voice,Thời lượng của kịch bản,Đối tượng hướng đến,Bố cục video,Dạng nội dung
11,"Intro: ""CÔ BÉ THƯỜNG XUYÊN CHÂM CHÍCH MÀ KHÔNG HIỂU TẠI SAO?
Mấy bà điểm danh xem mình có đang làm điều này mỗi ngày không nhé""

Thân: ""Số 1. Giặt đồ chip chung với quần áo hàng ngày, làm những chất bụi bẩn dính trên quần áo bên ngoài lẫn vào đồ chip
Số 2. Thay đồ chip ra nhưng không giặt luôn, khiến chất bẩn tích tụ, khó vệ sinh sạch
Số 3. Không thay đồ nội y định kỳ, vì khi sử dụng lâu ngày, sẽ tích tụ nhiều vi khuẩn dù vẫn giặt sạch sẽ hàng ngày
Số 4. Mặc trang phục bó sát, khiến cô bé không thoải mái, dễ gây trầy xước""

Out: Và nếu như các bà đang làm những điều trên thì dừng lại ngay nhé, nếu thấy cô bé có vấn đề thì thử Ziaja Intimate bản xanh nhạt này đi xem sao, có Lactobionic Acid hỗ trợ làm dịu cảm giác châm chích. Tự tin đi chơi, đi học hay đi làm chẳng cần khép nép e ngại nữa. Tui đi khám được các bác khuyên dùng, nhiều KOL, KOC cũng recommend em này lắm đó. Link chính hãng ở góc trái nha.","
- LA: hỗ trợ cải thiện cô bé có vấn đề",- Lý giải vấn đề châm chích ở cô bé,,mắc sai lầm trong việc chăm sóc cô bé,Trưởng thành,,,"nghiêm túc, nguy hiểm",42 giây,"- chị em mọi độ tuổi, gặp các giác khó chịu ở vùng tam giác",HHH,Tips & Tricks
12,"Intro: TẠI SAO VALENTINE NÀY NY LẠI KHÔNG MUỐN CHO NGƯỜI YÊU ĐẾN GẦN

Thân: Tại vì Ny sợ cô bé không sạch sẽ, khi gần gũi với người yêu mà để lại cảm giác sa mạc, rau mùi thì kỳ lắm. Là Ny mất người yêu luôn, là không có ai đi chơi 14/2 cùng Ny nữa 
Nói vui vậy chứ, mặc dù đây có thể không phải lý do quyết định chuyện yêu đương của hai người nhưng cũng là một trong những nguyên nhân lớn dẫn đến chuyện hợp tan, phải không các bà?
Vậy nên đừng quên và bỏ xó em này nữa, Ziaja Intimate cũng giống như cô bé, cần được chăm sóc thường xuyên. Không chỉ dùng trước lúc QH (Quy hắt) để bé mèo nhỏ mít ướt, thơm tho... mà hàng ngày cũng phải nhớ tắm đều đặn để sạch từ trong ra ngoài đấy

Out: Valentine còn mấy hôm nữa thui, say bye với cảm giác bất tiện khiến Ny hay bất cứ cô gái nào muốn tránh xa người yêu nhé. Tui gắn giỏ rùi, mấy bà chỉ vì click mua thui","
- LA: hỗ trợ cải thiện cô bé có vấn đề","- Đu trend
- Rau mùi ở vùng tam giác: rào cản tình yêu",,Các bạn nữ tự ti khi gần gũi với người yêu vì vùng tam giác không sạch sẽ,Trưởng thành,,,"hóm hỉnh, dí dỏm, vui tươi",47 giây,"- chị em mọi độ tuổi, gặp các giác khó chịu ở vùng tam giác
- có (ý định) có người yêu/ đã lập gia đình",PAS,"Lời khuyên, lựa chọn"
13,"Intro: ""Là dược sĩ, mình gặp rất nhiều chị em dùng phải DDVS kém chất lượng dẫn đến hậu quả là cô bé châm chích, nguy hiểm hơn là ảnh hưởng xấu tới sức khỏe vùng tam giác. 
Tìm loại DDVS mà an toàn, lành tính thì Ziaja Intimate rất chuẩn nhé""

Thân: ""Dược sĩ tư vấn cho rất nhiều chị em dùng rồi, từ các mom bầu, bạn gái tuổi dậy thì hay những bạn nào gặp vấn đề khó nói là toàn chỉ mua dòng này thôi
Sau khi rửa, vùng đó mềm mịn, không có cảm giác khô căng khó chịu, dịu nhẹ thấy rõ""
Ngày 15/2 này có sale giảm giá sâu kèm quà tặng ở cửa hàng chính hàng của Ziaja: Intimate Official Store đấy. Ai chưa thử thì chốt ngay một chai để trải nghiệm nha!

Out: ""Cụ thể: từ ngày 14-16/2,
Với đơn từ 99K, mua 1 sản phẩm med hoặc 1 baby tặng nhận ngay 1 kem khoáng chống nắng
Đơn từ 300K, mua 2 DDVS Gel hoặc Cream được tặng 1 quà là mặt nạ dê, tất hoặc kem khoáng chống nắng
Duy nhất 0-2h 15.2 mua 1ddvs bất kì tặng 1 mask dê/1 đôi tất; khung giờ còn lại mua 2 ddvs bất kì tặng 1 kem khoáng chống nắng

Với Ziaja Intimate: Valentine này, mượn deal tỏ tình, săn sale cực đỉnh ""","
- LA: hỗ trợ cải thiện cô bé có vấn đề","- giới thiệu sản phẩm trên góc độ từ người có chuyên môn (dược sĩ)
- lồng ghép promotion",,- chưa kiểm chứng được chất lượng DDVS,Trưởng thành,,,"- gần gũi, tạo sự uy tín",1 phút 3 giây,khách hàng của Ziaja Intimate hoặc những người quan tâm tới sản phẩm dung dịch vệ sinh,ACCA (Awareness - Comprehension - Conviction - Action),Chia sẻ + CTKM
14,"Intro: THÔNG BÁO QUAN TRỌNG: CHỈ CÒN 3 NGÀY NỮA ĐỂ SĂN DEAL KHỦNG CÙNG ZIAJA INTIMATE DỊP VALENTINE NÀY

Thân: ""Từ ngày 14 - 16/2, cơ hội mua sắm cực lời dành cho hội chị em
Đơn từ 99K – Mua 1 sản phẩm Med hoặc 1 Baby Tặng 1 kem khoáng chống nắng 
Đơn từ 300K – Mua 2 DDVS Gel hoặc Cream TẶNG 1 trong 3 quà xịn:
Mặt nạ dê 🐐 | 🧦 1 đôi tất cute | 🏖️ Kem khoáng chống nắng""
""ĐẶC BIỆT DUY NHẤT TỪ 0-2H NGÀY 15/2!
🛍️ Mua 1 DDVS bất kỳ 👉 TẶNG ngay 1 mặt nạ dê hoặc 1 đôi tất
⏳ Từ 2h trở đi: Mua 2 DDVS bất kỳ vẫn tặng ngay 1 kem khoáng chống nắng""

Out: ""SỐ LƯỢNG CÓ HẠN – DUY NHẤT 14 -16/2 NÀY
valentine này, mượn deal tỏ tình, săn sale cực đỉnh""",Tập trung vào chương trình khuyến mãi dành cho Ziaja Intimate,"Flash sale, săn deal khuyến mãi",,Tận dụng cơ hội mua hàng với giá hời,Trưởng thành,,,"Gấp rút, kích thích hành động ngay lập tức",40-50s,"Người săn sale, thích ưu đãi","SLAP (Stop - Look - Act - Purchase) → Gây chú ý, tạo nhu cầu, thúc đẩy hành động","Marketing khuyến mãi, CTA mạnh mẽ"
15,"Intro: """"""SỮA TẮM CÔ BÉ LÀ GÌ?""""

(cho nhân vật freestyle trả lời để thu được ý tự nhiên, tuy nhiên sẽ điều hướng để có 1 số key sau)
- “Ủa? Cái này tắm cho em bé hả?”
- """"Chắc là nước thần của hội chị em rồi!”
...
- Lạ gì, vợ anh ở nhà cũng dùng cái này (để anh này giải thích ngắn gọn từ khóa """"sữa tắm cô bé luôn"""" => dung dịch vệ sinh để tắm rửa cho vùng tam giác""

Thân: """"""CÔNG DỤNG CỦA SỮA TẮM CÔ BÉ ZIAJA INTIMATE""""

(cho nhân vật freestyle trả lời, tuy nhiên sẽ điều hướng để đủ các công dụng)
- làm sạch
- dưỡng ẩm ""
""""""CÁC ANH TRAI TRẢI NGHIỆM SỮA TẮM CÔ BÉ ZIAJA INTIMATE""""

(cho nhân vật freestyle test, thu reaction trực tiếp)
- “Ủa, dạng kem mịn thật!”
- Không có mùi nhân tạo mà lại dễ chịu ghê nhỉ
...
""

Out: """"""CHẤM ĐIỂM SỮA TẮM CÔ BÉ ZIAJA INTIMATE""""

(cho nhân vật freestyle test, thu reaction trực tiếp, nói lý do cho điểm số đấy)
- có key nói đến tặng quà""
""Chị em thấy quà này có hợp lý không? Bình luận ngay để ‘'nhắc khéo’' anh nhà nha!
""",DDVS Ziaja Intimate nói chung,Hỏi đáp vui nhộn + review thực tế,,Thắc mắc về công dụng và trải nghiệm thực tế,Trưởng thành,,,"Tự nhiên, hài hước",50s,"Người chưa biết đến sản phẩm, muốn thử nghiệm","3S (Star - Story - Solution) → Nhân vật chính, câu chuyện phản ứng tự nhiên, kết thúc bằng giải pháp",Hỏi đáp + thử nghiệm sản phẩm
16,"Intro: DUNG DỊCH VỆ SINH ZIAJA INTIMATE CÓ GÌ MÀ ĐƯỢC NHIỀU NGƯỜI NỔI TIẾNG REVIEW ĐẾN VẬY?

Thân ""Thứ nhất: Đây là dòng dung dịch vệ sinh đến từ thương hiệu dược mỹ phẩm Ziaja - rất lâu đời tại Ba Lan, được bày bán rộng rãi tại nhiều hiệu thuốc, bệnh viện, và trung tâm y tế lớn 
(sau đó cắt các source giới thiệu về hãng của KOL, KOC)""
Thứ hai: Các chị em cứ yên tâm khi dùng em này vì đảm bảo về độ lành tính, dịu nhẹ
Thứ ba: Điều mà chúng ta quan tâm nhất khi lựa chọn sản phẩm, công dụng của em nó đúng không nào

Out: Vậy còn chần chừ chi mà chưa sắm cho mình một em dung dịch vệ sinh quốc dân để chăm sóc bé mèo nhỉ các nàng ơi (chèn video ""Mua ngay"" của Pam ở cuối)",DDVS Ziaja Intimate nói chung,"Giới thiệu thương hiệu Ziaja Intimate được review bởi nhiều KOLs, KOCs",,Cần sự đảm bảo từ các chuyên gia/KOLs,Trưởng thành,,,"Chuyên nghiệp, đáng tin cậy",Khoảng 45s,Người muốn có sự xác nhận từ người nổi tiếng,"AIDA (Attention - Interest - Desire - Action) → Tạo sự tò mò, chứng minh sản phẩm đáng tin, thúc đẩy hành động","Phân tích & chứng thực từ KÓC, KOLs"
17,"Intro: ""Cô bé khó chịu chưa người đẹp? 
Nhìn ảnh này hoang mang chưa người đẹp?

""""Đấy, tui từng như mấy bà, sốc nặng vì điều này đây!""""""

Thân: ""Đi khám mới biết, tình trạng này không có gì đáng lo cả, ai gần kỳ dâu cũng đều thấy hoặc với mom nào mang bầu thì còn gặp rất thường xuyên
NHƯNG ...
nếu cô bé đi kèm ngờ ứa, mùi lạ… thì thôi xác định nha! khúc này mấy bà hoang mang được rồi này""
Với kinh nghiệm gặp các vị cứu tinh áo trắng thường xuyên, tui được dặn là phải duy trì những thói quen này ... để cô bé khỏe mạnh và đặc biệt là dùng sản phẩm làm sạch chuyên dụng nha
Khỏe re, sạch sẽ, không còn châm chích là nhờ em nó cả đấy. Các bác tư vấn Ziaja Intimate thì quá là uy tín và an tâm còn gì, nhìn số lượng feedback của hội chị em là thấy

Out: ""Ai gặp tình trạng khó nói thì đừng chần chừ, 1 vé thăm khám ngay nha! Mà có ai từng được khuyên dùng em Ziaja Intimate này như tui không? Cmt kể tui nghe với nhé""",Chai xanh nhạt,"Đề cập đến các vấn đề vùng kín, cảnh báo về dấu hiệu nguy hiểm, cảnh báo sức khỏe vùng kín, tạo nhận thức",,"Lo lắng về tình trạng viêm nhiễm, khó chịu",Trưởng thành,,,"Cảnh báo nhưng nhẹ nhàng, tư vấn gần gũi",50-55s,Phụ nữ gặp vấn đề sức khỏe vùng kín,"PAS (Problem - Agitation - Solution) → Xác định vấn đề, nhấn mạnh lo lắng, đưa ra giải pháp",Tư vấn sức khỏe + gợi ý sản phẩm
,"Intro: ""Chào mọi người! Hôm nay Synaeshy cực kỳ háo hức khi lần đầu tiên được đồng hành cùng Ziaja Intimate – thương hiệu dung dịch vệ sinh quốc dân, ai dùng rồi cũng siêu mê trong dịp sale lớn cuối tháng 2 này!

Thân: Và tin vui cho cả nhà đây! Ngày 24-25/2, hãng sẽ có một phiên live cực bùng nổ với deal quà tặng siêu siêu xịn 

List quà tặng bao gồm kem khoáng chống nắng SPF50 và kem dưỡng ẩm tùy theo khung giờ các bạn đặt hàng
- Khi mua dung dịch vệ sinh bất kỳ, số lượng 2 là được tặng 
- Còn khi mua Ziaja Med hoặc Ziaja Baby, số lượng 1 thui là đã được ring quà về rồi

Các bạn nhớ chốt deal ngay trong live vì quà có hạn! Không săn là tiếc lắm đó! 

Out: 📌 Nhớ set lịch ngày 24-25/2, vào live cùng Ziaja Intimate để rinh deal cực hời nha!""",Quảng bá sự kiện sale & livestream không tập trung bán hàng,"Flash sale, livestream mua sắm",,Không muốn bỏ lỡ ưu đãi hấp dẫn,Trưởng thành,,,"Kêu gọi mạnh mẽ, tạo FOMO ",40 - 45s,Người thích mua hàng qua livestream,"SLAP (Stop - Look - Act - Purchase) → Tạo nhu cầu, kích thích mua hàng ngay","Khuyến mãi, marketing sự kiện"
,"Intro: """"""nhất định sẽ mua""""
""""sẽ mua""""""

Thân: Món đồ gì mà khiến các anh trai ai cũng muốn rước về ngay cho người yêu? Đặc biệt là dịp 8/3 này nếu như các ông chưa biết tặng quà gì cho chị nhà thì phải xem hết video này nhé
""Cứ mỗi tháng một lần, chắc chắn anh em sẽ trải qua cơn giông bão mang tên: Người yêu khó ở, đụng nhẹ cũng nổi nóng.""""

Nhưng anh em có biết, phần lớn nguyên nhân không phải do tâm trạng... mà là do cảm giác bí bách, khó chịu trong người?
Nếu cô bé bị ẩm ướt, bí bách cả ngày, không thoải mái thì sao mà vui nổi?""""""
""Thế mà có giải pháp rồi đây, chính là chai Ziaja Intimate này, giúp vùng nhạy cảm sạch thoáng, dịu nhẹ, nàng thoải mái hơn – và anh em cũng đỡ khổ hơn!

Từ ngày có em này, thấy cô ấy đỡ cáu gắt hẳn
Anh em có hiểu cảm giác ‘từ địa ngục trở về thiên đường’ là như nào chưa?""

Out: Quà không cần cầu kỳ, chỉ cần ĐÚNG THỨ nàng cần và là chàng tặng là được đó nha các anh!",DDVS Ziaja Intimate nói chung,Tặng quà 8/3 cho chị em,,"Nam giới không biết tặng gì cho bạn gái, vợ",Trưởng thành,,,"Hài hước, relatable",50s,Nam giới đang tìm quà cho người yêu,AIDA (Attention - Interest - Desire - Action),"Hướng dẫn chọn quà, relatable humor"
,"intro: ""Nếu đã xem video trước, mấy bà biết tôi đã mua chai dung dịch vệ sinh này với giá… chỉ 69K!""""
Lúc mở hộp  đã thấy có gì đó sai sai rồi nhưng test thử thì đúng là ôi dời ơi, sốc""

Thân: ""- Chất kem như video trước tôi đã nói là khác hoàn toàn chai chính hãng
- Mùi thì thơm rất nồng, tự hỏi bản thân rằng đây có phải dấu hiệu của cồn hay chất tạo bọt mạnh 
- Test lên tay để lại cảm giác khô, không mềm, khá nhờn khi thoa
- Da tay hơi căng như kiểu vừa rửa nước rửa chén
(đợi phản ứng vài tiếng xem có bị kích ứng hay gì không?)

Mấy bà nghĩ tôi nói quá? Tôi thì thấy may vì bản thân chỉ gặp phải vấn đề trên khi test ở trên tay thôi, chứ nếu dùng xuống vùng dưới thì: (show cmt feedback)

Và đây là phản ứng của rất nhiều người khi mua phải chai Intima giá rẻ giống như tôi, để cmt ở đây cho các bà đọc nhé""

Out: ""Thật ra lúc đặt mua mình đã hoang mang rồi nhưng đúng là KHÔNG DÁM NGHĨ TỚI VIỆC DÙNG THẬT í
Miễn bàn về giá đi vì mình thì không lý giải được tại sao giá lại chênh nhiều như thế

Nhưng thay vì tiết kiệm để mua loại rẻ rồi hoang mang không biết đây là hàng gì, nơm nớp lo lắng cho sức khỏe vùng tam giác thì mua sản phẩm chính hãng, được phân phối chính ngạch tại thị trường Việt Nam, an tâm về nguồn gốc, an toàn về chất lượng thì có phải ngày ăn ngon, đêm ngủ yên, cô bé bình yên kể cả ngày giông bão không

Các bà nhớ là hàng nhập khẩu chính hãng ở Việt Nam chỉ có duy nhất Ziaja Intimate, mua tại kênh chính thức của hãng đủ 3 tem để kiểm chứng nhé

=> Sức khỏe không có giá rẻ, đừng để ham rẻ biến bản thân thành chuột bạch nha các người đẹp.""","Chai LA (hot, dễ bị làm giả)","Cảnh báo về hàng giả giá rẻ, chia sẻ trải nghiệm thực tế",,Muốn tiết kiệm tiền nhưng có nguy cơ mua phải hàng giả,Trưởng thành,,,"Giật gân, cảnh báo, có chút hài hước",50-60s,"Người muốn mua sản phẩm chất lượng, tránh hàng giả",ACCA (Awareness - Comprehension - Conviction - Action),"Cảnh báo, trải nghiệm thực tế"
,"Intro: Chưa bao giờ tui thấy baby three lại nguy hiểm như bây giờ

Thân: Baby three này (chỉ vào 1 gấu baby three) hay baby three trong ngoặc kép đều mang những đặc tính chung: một món đồ chơi có ngoại hình bắt mắt nhưng là một cỗ máy bào tiền
Cùng là mang lại niềm vui nhưng baby three trong ngoặc kép thì chắc chắn là những điều mà nhiều cô gái không muốn gặp nhất
Do vậy mỗi cô gái phải luôn nhớ rằng phải luôn yêu thương, trân trọng bản thân để baby three không có cơ hội để chen ngang vào mối quan hệ của 2 người
Ziaja Intimate tự tin là người bạn đồng hành trong hành trình glow up của mọi cô gái, giúp các nàng khoẻ mạnh, tự tin và hạnh phúc hơn
Sản phẩm phù hợp với tất cả các mọi độ tuổi, kể cả mẹ bầu sau sinh - lúc chị em chúng mình tự ti nhất

Out: ""Chăm sóc bản thân là không bao giờ thừa để bản thân trở nên xinh đẹp, tự tin hơn và để baby three chỉ là món đồ chơi chứ không phá hoại hạnh phúc gia đình""",Nhắc nhẹ về sản phẩm,"Ẩn dụ về ""baby three"" (gấu bông) để nói về bé 3 trà xanh",,"Cần chăm sóc bản thân để luôn tự tin, hạnh phúc",Trưởng thành,,,"Hài hước, sáng tạo, relatable",50s,Phụ nữ quan tâm đến self-care,3S (Star - Story - Solution),"Chia sẻ quan điểm, lối sống"
,"Intro: Nv nữ hỏi nhân vật nam (giấu mặt: chèn icon chat GPT): Theo anh thì rào cảnh lớn nhất của các anh trong cuộc yêu là gì? 

Thân: NV nam ""hmm nói thật với em thì nhiều khi cũng đi đến ngã 3 đường rồi mà là lại băn khoăn không biết là nên đâm thẳng hay đi vào đoạn đường khác vì ngã 3 nhiều khi gặp vấn đề khó nói""
nv nữ ""Ui vậy theo anh thì chị em cần làm gì để cải thiện tình trạng này?""
""À thì… Đường có sạch, có thông thoáng thì đi mới mượt chứ! Chứ mà... tới nơi rồi mà thấy đường xóc, chướng ngại vật thì… sao mà yên tâm mà chạy được!""
""Đúng ha, ai mà muốn chạy trên đường gồ ghề đâu. Mà nói thật nha, các anh có công nhận từ khi các chị em tìm ra ‘bạn đồng hành’ của mình, đường đi lúc nào cũng trơn tru, mượt mà, tự tin hơn hẳn không?""
""Quá là đồng tình đi, may sao. chứ nhiều lúc anh em cũng khổ tâm lắm…""

Out: """"""Thế nên chị em nhớ nhé, luôn giữ đường sá thông thoáng nha, đừng để các anh băn khoăn ở ngã 3 nữa. Ai đồng tình thì điểm danh nào""""""",Nhắc nhẹ về sản phẩm,"Giúp chị em chăm sóc vùng kín để luôn sạch thoáng, tự tin",,"Gặp tình trạng khó chịu, ảnh hưởng đến cuộc sống, tình yêu",Trưởng thành,,,"Hài hước, đối đáp thông minh",50s,"Cả nam và nữ, nội dung mang tính giải trí",HHH (Hook - Help - Hero),"Hội thoại, content viral"
,"Intro: Các mom ơi! Đừng vì không biết đến điều này mà để 9 tháng 10 ngày mang bầu là những chuỗi dài khó chịu và cảm giác rau mùi ở vùng tam giác nhé!

Thân: Khi có những dấu hiệu như thế này: (minh họa) các mẹ thường rất tự ti trước ông xã, lo ngại nguy cơ tiềm ẩn về sức khỏe cô bé, thậm chí nếu nặng hơn là ảnh hưởng sức khỏe của cả mẹ và bé. Với người có kế hoạch sinh con, nghĩ thôi cũng sợ điều này rồi
Và sau khi khảo sát rất nhiều mẹ bầu, mẹ sau sinh, tui đã tìm được đáp án chung để ""hóa giải"" cho mấy mom rồi đây
Không gì đơn giản, dễ thực hiện mà lại hiệu quả hơn việc cho cô bé cảm giác sạch sẽ, thoáng mát khi dùng em DDVS Intimate Ziaja này cả
Đây là phiên bản được các mom rất rất ưa chuộng nhờ có thành phần Lactobionic Acid, vùng tam giác của các mom sẽ vừa được làm sạch nhẹ nhàng, ẩm, mịn mà còn săn chắc và được bảo vệ an toàn hơn
9 tháng 10 ngày không chỉ là mang thai, mà còn là tận hưởng hành trình làm mẹ! Đừng để cảm giác khó chịu hay nỗi lo về rau mùi ở cô bé làm mẹ mất tự tin nhé 

Out: Đặt hàng ngay hôm nay để hưởng ưu đãi đặc biệt dành cho mẹ bầu trong tháng này thôiiii",Chai LA,Sức khỏe vùng kín trong thai kỳ,,"Cảm giác khó chịu, lo lắng về vệ sinh trong lúc mang thai",Trưởng thành,,,"Tâm sự, chia sẻ ",50s,"Phụ nữ mang thai, sau sinh",PAS (Problem - Agitation - Solution),"Chia sẻ kinh nghiệm, hướng dẫn"
,"Intro: ""Mình mới mua 69k hôm trước, ai dùng xong về bị ngứa không?""

Thân: Bên cạnh những feedback tốt, 5/5 sao đánh giá thì chúng mình đôi khi vẫn nhận về những phản hồi như thế này về sản phẩm DDVS Ziaja Intimate
""1. Chưa mua được sản phẩm chính hãng
Và sau khi tổng hợp, chúng mình thấy đây là hai lý do chính dẫn đến câu chuyện trên:
Một chai Ziaja Intimate chính hãng khi mua qua kênh Intimate Official Store sẽ có bao bì như thế này, texture dạng kem, không quá lỏng và quan trọng có 3 tem:
- Tem niêm yết
- Tem chống hàng giả có dấu của Bộ Công An
- Tem phụ tiếng việt
Giá thành đều được chúng mình công khai, minh bạch, sẽ có giảm sâu và quà tặng nhưng tùy thời điểm và phiên live nha, chứ rẻ quá như kia coi chừng tiền mất ít nhưng tật mang nhiều đấy""
""2. Dùng loại DDVS chưa phù hợp
Mặc dù Ziaja Intimate có rất nhiều loại, nhưng mỗi chai sẽ phù hợp với tình trạng cô bé khác nhau, các bà nên đọc kĩ để chọn dòng tương thích với bé mèo của mình, cho bé mèo cảm giác thoải mái dễ chịu nhất nha""
Thế mới nói, việc chọn mặt gửi vàng, chọn gian hàng chính hãng, sản phẩm phù hợp luôn là điều rất rất quan trọng, cần đặc biệt lưu tâm

Out: Nếu bà nào có vấn đề nhẹ ở vùng tam giác, cảm thấy bị châm chích,... thì cứ xanh nhạt mà dùng cho tui, cải thiện tốt lắm đó, tui có gắn link ở góc trái rồiii",Chai LA,"Cảnh báo về mua hàng giá rẻ, không rõ nguồn gốc",,Muốn mua sản phẩm giá tốt nhưng không biết hàng thật - giả,Trưởng thành,,,"Cảnh báo nhưng vẫn nhẹ nhàng, giải thích rõ ràng",50 - 60s,"Người đang tìm hiểu về sản phẩm, có nguy cơ mua phải hàng giả",ACCA (Awareness - Comprehension - Conviction - Action),"Cảnh báo, hướng dẫn mua hàng"
,"Intro: ""Sale mà giá chẳng khác gì ngày thường?
Không tin đúng không? Intimate Ziaja đang live, vào xem ngay đi để kiểm chứng nhé""

Thân: ""ưu đãi lên đến 30%, freeship tất cả các đơn hàng, giá giảm lần lượt:
HA: 195 
LA 215 
Hồng 230
Cam 205
men 285
Gel 165 

cùng rất nhiều Voucher lên tới 20%
Mua số lượng 2 ddvs được tặng thêm 1 tệp 6 phong bao lì xì nhé""

Out: Đang live rồi đấy, vào xem ngay nha",Tập trung vào promotion,"Săn sale, kích thích mua hàng",,"Hoài nghi về chương trình khuyến mãi, muốn kiểm chứng",Trưởng thành,,,"Gấp rút, FOMO",40s,"Người thích mua sắm online, săn sale",SLAP (Stop - Look - Act - Purchase),Quảng cáo Flash Sale
,"Intro: ""Ưu điểm: Fan cứng thương hiệu Ziaja
Nhược điểm: Cháy túi vì brand này đồ chăm sóc gì cũng có ""

Thân: Trước nay lướt toptop cứ nghĩ Ziaja chỉ có mỗi DDVS nhưng không ngờ hãng này lại chính là thương hiệu Dược - Mỹ phẩm uy tín tại Ba Lan với rất rất nhiều sản phẩm khác dành cho chăm sóc mặt, cơ thể, tóc và cả cho trẻ em. 
Không bán thì thôi chứ hễ bán là phản hồi tốt cứ phải gọi là ê hề. Đến bác Lyn cũng xin được nhận huy chương fan cứng, khéo cũng gần cháy túi vì Ziaja

Out: Mùa đông khô hanh này mấy bà biết mua mấy đồ dưỡng ẩm da mặt với cơ thể ở đâu rồi đấy.",Tập trung vào branding,"Giới thiệu Ziaja là thương hiệu dược - mỹ phẩm đa dạng, không chỉ có dung dịch vệ sinh",,"Chỉ biết Ziaja qua dung dịch vệ sinh, chưa khám phá các dòng khác",Trưởng thành,,,"Thân thiện, relatable",45s,Người đã biết đến Ziaja nhưng chưa khám phá hết danh mục sản phẩm,AIDA (Attention - Interest - Desire - Action),"Khám phá thương hiệu, review tổng quan"
,"Intro: Cô gái ước mình biết điều này sớm hơn

Thân: Trước đây toàn mang bé mèo khó chịu đi học, đi làm mà không biết cách vệ sinh sao cho bé mèo khỏe mạnh. 

Out: ""Cho tới khi đi kiểm tra sức khoẻ bé mèo được các Bác khuyên dùng Ziaja Intimate.Lúc đó cô mới biết vùng da của bé mèo cần một sản phẩm có thành phần tự nhiên để bảo vệ và chăm sóc hàng ngày. Sản phẩm thì nổi rần rần không chỉ chiến thành Hà Linh mà còn được Hằng Du Mục tin tưởng sử dụng trong suốt giai đoạn mang bầu. Đừng chờ đến khi gặp vấn đề mới tìm cách xử lý. Hãy yêu thương bé mèo đúng cách ngay hôm nay.""","4 chai DDVS cream:
- Hyaluronic Acid: xanh đậm
- Lactobionic Acid: xanh nhạt
- Lactic Acid: hồng
- Ascorbic Acid: cam",Hành trình chăm sóc sức khỏe vùng kín,,Không biết vùng kín cần được chăm sóc bằng sản phẩm chuyên biệt,Trưởng thành,,,"Tâm sự, chia sẻ cá nhân, truyền cảm hứng",50s,Phụ nữ chưa từng dùng dung dịch vệ sinh chuyên biệt,PAS (Problem - Agitation - Solution),"Hành trình cá nhân, chia sẻ trải nghiệm"
,"Intro: Một sự thật bạn nên biết: Cùng là 2 chai xanh đình đám của nhà Intimate Ziaja, vậy màu nhạt và màu đậm khác nhau như thế nào?

Thân: Xanh đậm dành cho những người có cô bé khô hạn vì có Hyaluronic Acid hỗ trợ dưỡng ẩm và làm mềm, dùng hàng ngày vô tư, giúp bé mèo luôn dễ chịu, thoải mái
Còn chai xanh nhạt này dành cho những người có vấn đề như ngứa, mùi, đặc biệt phù hợp cho mẹ bầu, sau sinh, vì trong này có Lactobionic Acid giúp làm dịu, bổ sung lợi khuẩn và giảm mùi, giúp cho bé mèo khỏe mạnh.

Out: Cả 2 chai này đều an toàn, lành tính và dùng được hàng ngày. Nếu bạn có thắc mắc gì hãy để lại cmt dưới đây nha","- HA: hỗ trợ cung cải thiện tình trạng cô bé bị khô
- LA: hỗ trợ cải thiện cô bé có vấn đề",Giải thích công dụng của hai dòng xanh đậm và xanh nhạt,,Không biết chọn loại nào phù hợp,Trưởng thành,,,"Rõ ràng, đơn giản, dễ hiểu",Khoảng 40s,"Người mua hàng mới, chưa biết về sản phẩm","FAB (Feature - Advantage - Benefit) → Mô tả đặc điểm, lợi ích, công dụng thực tế","Tư vấn, so sánh"
